transaction_id,investor_id,action,product_type,product_risk_level,amount,date,hold_days,market_change_pct,decision_source,sell_decision_source,is_chasing
TX000001,INV0001,sell,mixed_low,3,9686,2025-07-06,31.0,13.74,,rational_take_profit,
TX000002,INV0001,sell,bond,2,20074,2025-01-08,131.0,1.11,,rational_take_profit,
TX000003,INV0001,buy,mixed_low,3,19288,2025-09-21,,,self,,False
TX000004,INV0001,buy,fund,4,24541,2025-12-29,,,friend,,False
TX000005,INV0001,buy,mixed_low,3,15166,2025-09-13,,,self,,False
TX000006,INV0001,buy,mixed_low,3,9263,2025-08-13,,,self,,False
TX000007,INV0001,sell,fund,4,13582,2025-07-22,24.0,8.61,,rational_take_profit,
TX000008,INV0001,buy,fund,4,14790,2025-10-08,,,advisor,,False
TX000009,INV0001,sell,mixed_medium,3,20262,2024-10-20,98.0,0.62,,rational_take_profit,
TX000010,INV0001,buy,mixed_medium,3,25100,2024-08-16,,,advisor,,False
TX000011,INV0001,sell,mixed_low,3,6968,2024-12-01,21.0,3.2,,follow_others,
TX000012,INV0001,buy,mixed_medium,3,21559,2025-11-21,,,social_media,,True
TX000013,INV0001,buy,mixed_medium,3,7829,2025-07-15,,,friend,,True
TX000014,INV0001,sell,bond,2,19179,2025-03-04,23.0,7.03,,need_cash,
TX000015,INV0001,buy,mixed_low,3,17397,2024-09-23,,,friend,,False
TX000016,INV0001,buy,mixed_low,3,20640,2025-12-25,,,self,,False
TX000017,INV0001,sell,fund,4,18853,2024-07-10,146.0,12.66,,rational_take_profit,
TX000018,INV0001,buy,mixed_medium,3,11637,2024-12-30,,,advisor,,False
TX000019,INV0001,sell,fund,4,11687,2024-09-11,21.0,-2.23,,rational_take_profit,
TX000020,INV0001,buy,mixed_medium,3,21140,2024-12-14,,,self,,False
TX000021,INV0001,buy,fund,4,26070,2025-03-10,,,social_media,,False
TX000022,INV0001,sell,mixed_low,3,25184,2025-06-29,73.0,3.01,,follow_others,
TX000023,INV0001,sell,mixed_low,3,26621,2024-10-21,27.0,-2.39,,need_cash,
